,,,,Өңір,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ҚАЗАҚСТАН,,Астана қаласы,,Алматы қаласы,,Абай облысы,,Ақмола облысы,,Ақтөбе облысы,,Алматы облысы,,Атырау облысы,,Батыс Қазақстан облысы,,Жамбыл облысы,,Жетісу облысы,,Қарағанды облысы,,Қостанай облысы,,Қызылорда облысы,,Маңғыстау облысы,,Түркістан облысы,,Ұлытау облысы,,Павлодар облысы,,Солтүстік Қазақстан облысы,,Шығыс Қазақстан облысы,,Шымкент қаласы,
4.5. Достармен немесе әріптестермен әңгімелесу арқылы алынған жаңалықтар,Күн сайын,241,"20,1%",21,"24,1%",26,"18,3%",13,"34,2%",12,"23,5%",7,"12,7%",17,"19,1%",8,"20,5%",8,"18,6%",15,"21,7%",6,"14,6%",12,"16,2%",16,"28,1%",4,"8,7%",4,"9,5%",25,"22,5%",3,"23,1%",13,"26,0%",13,"35,1%",6,"12,0%",12,"18,2%"
,Апта сайын,263,"21,9%",15,"17,2%",32,"22,5%",10,"26,3%",3,"5,9%",9,"16,4%",17,"19,1%",7,"17,9%",12,"27,9%",18,"26,1%",7,"17,1%",13,"17,6%",14,"24,6%",14,"30,4%",7,"16,7%",33,"29,7%",2,"15,4%",19,"38,0%",6,"16,2%",12,"24,0%",13,"19,7%"
,Ай сайын,222,"18,5%",14,"16,1%",24,"16,9%",3,"7,9%",1,"2,0%",6,"10,9%",18,"20,2%",13,"33,3%",5,"11,6%",19,"27,5%",8,"19,5%",17,"23,0%",7,"12,3%",13,"28,3%",5,"11,9%",19,"17,1%",1,"7,7%",5,"10,0%",7,"18,9%",16,"32,0%",21,"31,8%"
,Айына бір реттен сирек,177,"14,8%",19,"21,8%",27,"19,0%",5,"13,2%",3,"5,9%",7,"12,7%",22,"24,7%",5,"12,8%",5,"11,6%",4,"5,8%",8,"19,5%",20,"27,0%",14,"24,6%",5,"10,9%",2,"4,8%",6,"5,4%",1,"7,7%",5,"10,0%",5,"13,5%",3,"6,0%",11,"16,7%"
,Ешқашан,278,"23,2%",18,"20,7%",31,"21,8%",7,"18,4%",32,"62,7%",25,"45,5%",14,"15,7%",6,"15,4%",12,"27,9%",13,"18,8%",9,"22,0%",11,"14,9%",6,"10,5%",10,"21,7%",23,"54,8%",25,"22,5%",3,"23,1%",8,"16,0%",6,"16,2%",11,"22,0%",8,"12,1%"
,Жауап беруден бас тарту,15,"1,3%",0,"0,0%",2,"1,4%",0,"0,0%",0,"0,0%",1,"1,8%",1,"1,1%",0,"0,0%",1,"2,3%",0,"0,0%",3,"7,3%",0,"0,0%",0,"0,0%",0,"0,0%",1,"2,4%",3,"2,7%",1,"7,7%",0,"0,0%",0,"0,0%",2,"4,0%",0,"0,0%"
,Жауап беру қиын,4,",3%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,4%",0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",2,"15,4%",0,"0,0%",0,"0,0%",0,"0,0%",1,"1,5%"
,,ҚАЗАҚСТАН,,Астана қаласы,,Алматы қаласы,,Абай облысы,,Ақмола облысы,,Ақтөбе облысы,,Алматы облысы,,Атырау облысы,,Батыс Қазақстан облысы,,Жамбыл облысы,,Жетісу облысы,,Қарағанды облысы,,Қостанай облысы,,Қызылорда облысы,,Маңғыстау облысы,,Түркістан облысы,,Ұлытау облысы,,Павлодар облысы,,Солтүстік Қазақстан облысы,,Шығыс Қазақстан облысы,,Шымкент қаласы,
"5. Сіз «азаматтық қоғам» деген ұғымды білесіз бе, естідіңіз бе, әлде алғаш рет естіп тұрсыз ба?",Білемін,235,"19,6%",16,"18,4%",30,"21,1%",8,"21,1%",6,"11,8%",2,"3,6%",18,"20,2%",7,"17,9%",13,"30,2%",20,"29,0%",7,"17,1%",18,"24,3%",11,"19,3%",3,"6,5%",0,"0,0%",22,"19,8%",5,"38,5%",10,"20,0%",13,"35,1%",9,"18,0%",17,"25,8%"
,Бірдеңе естігенмін,487,"40,6%",37,"42,5%",72,"50,7%",16,"42,1%",13,"25,5%",10,"18,2%",26,"29,2%",10,"25,6%",13,"30,2%",28,"40,6%",18,"43,9%",29,"39,2%",32,"56,1%",12,"26,1%",20,"47,6%",52,"46,8%",2,"15,4%",23,"46,0%",13,"35,1%",27,"54,0%",34,"51,5%"
,Алғаш рет естіп тұрмын,464,"38,7%",30,"34,5%",39,"27,5%",14,"36,8%",31,"60,8%",43,"78,2%",44,"49,4%",22,"56,4%",17,"39,5%",21,"30,4%",13,"31,7%",25,"33,8%",14,"24,6%",31,"67,4%",21,"50,0%",37,"33,3%",6,"46,2%",16,"32,0%",11,"29,7%",14,"28,0%",15,"22,7%"
,Жауап беру қиын,14,"1,2%",4,"4,6%",1,",7%",0,"0,0%",1,"2,0%",0,"0,0%",1,"1,1%",0,"0,0%",0,"0,0%",0,"0,0%",3,"7,3%",2,"2,7%",0,"0,0%",0,"0,0%",1,"2,4%",0,"0,0%",0,"0,0%",1,"2,0%",0,"0,0%",0,"0,0%",0,"0,0%"
,,ҚАЗАҚСТАН,,Астана қаласы,,Алматы қаласы,,Абай облысы,,Ақмола облысы,,Ақтөбе облысы,,Алматы облысы,,Атырау облысы,,Батыс Қазақстан облысы,,Жамбыл облысы,,Жетісу облысы,,Қарағанды облысы,,Қостанай облысы,,Қызылорда облысы,,Маңғыстау облысы,,Түркістан облысы,,Ұлытау облысы,,Павлодар облысы,,Солтүстік Қазақстан облысы,,Шығыс Қазақстан облысы,,Шымкент қаласы,
"6. Сіздің ойыңызша, Қазақстанда қазір азаматтық қоғам бар ма, әлде азаматтық қоғам жоқ па?",Сөзсіз бар,195,"27,0%",2,"3,8%",29,"28,4%",1,"4,2%",9,"47,4%",2,"16,7%",10,"22,7%",3,"17,6%",13,"50,0%",15,"31,3%",3,"12,0%",9,"19,1%",4,"9,3%",3,"20,0%",7,"35,0%",40,"54,1%",3,"42,9%",11,"33,3%",6,"23,1%",8,"22,2%",17,"33,3%"
,Бар деуге болады,379,"52,5%",36,"67,9%",55,"53,9%",15,"62,5%",6,"31,6%",6,"50,0%",24,"54,5%",9,"52,9%",10,"38,5%",24,"50,0%",14,"56,0%",21,"44,7%",30,"69,8%",10,"66,7%",11,"55,0%",29,"39,2%",3,"42,9%",9,"27,3%",13,"50,0%",22,"61,1%",32,"62,7%"
,Жоқ деуге болады,98,"13,6%",11,"20,8%",13,"12,7%",5,"20,8%",3,"15,8%",4,"33,3%",5,"11,4%",4,"23,5%",3,"11,5%",4,"8,3%",6,"24,0%",14,"29,8%",6,"14,0%",2,"13,3%",2,"10,0%",1,"1,4%",0,"0,0%",7,"21,2%",5,"19,2%",1,"2,8%",2,"3,9%"
,Сөзсіз жоқ,16,"2,2%",0,"0,0%",2,"2,0%",1,"4,2%",0,"0,0%",0,"0,0%",2,"4,5%",1,"5,9%",0,"0,0%",1,"2,1%",0,"0,0%",1,"2,1%",0,"0,0%",0,"0,0%",0,"0,0%",3,"4,1%",0,"0,0%",3,"9,1%",0,"0,0%",2,"5,6%",0,"0,0%"
,Жауап беру қиын,34,"4,7%",4,"7,5%",3,"2,9%",2,"8,3%",1,"5,3%",0,"0,0%",3,"6,8%",0,"0,0%",0,"0,0%",4,"8,3%",2,"8,0%",2,"4,3%",3,"7,0%",0,"0,0%",0,"0,0%",1,"1,4%",1,"14,3%",3,"9,1%",2,"7,7%",3,"8,3%",0,"0,0%"
,,ҚАЗАҚСТАН,,Астана қаласы,,Алматы қаласы,,Абай облысы,,Ақмола облысы,,Ақтөбе облысы,,Алматы облысы,,Атырау облысы,,Батыс Қазақстан облысы,,Жамбыл облысы,,Жетісу облысы,,Қарағанды облысы,,Қостанай облысы,,Қызылорда облысы,,Маңғыстау облысы,,Түркістан облысы,,Ұлытау облысы,,Павлодар облысы,,Солтүстік Қазақстан облысы,,Шығыс Қазақстан облысы,,Шымкент қаласы,
"Q7. Сіз «азаматтық қоғам» деген ұғымды қалай түсінесіз, ол нені білдіреді?","Ел халқы, азаматтар, қоғам, бәріміз",148,"20,5%",12,"22,6%",26,"25,5%",3,"12,5%",3,"15,8%",3,"25,0%",8,"18,2%",5,"29,4%",2,"7,7%",7,"14,6%",5,"20,0%",9,"19,1%",6,"14,0%",3,"20,0%",4,"20,0%",23,"31,1%",4,"57,1%",6,"18,2%",2,"7,7%",8,"22,2%",9,"17,6%"
